id,typ,herkunft,modell,variante,hit@1,hit@3,hit@5,rang_erste_erwartete,rang_alle_erwarteten,rang_veraltet,rang_aktuell,veraltet_vor_aktuell,veraltet_in_top3,top1_score,top3_distinct_artikel,top3_woerter
4,einfach,mensch,e5-base,contextual,0,0,1,4,4,25,19,0,0,0.8358,2,336
5,einfach,mensch_korrigiert,e5-base,contextual,1,1,1,1,4,3,4,1,1,0.8672,3,258
6,einfach,mensch,e5-base,contextual,0,1,1,2,2,4,1,0,0,0.88,2,277
7,luecke,mensch_korrigiert,e5-base,contextual,,,,,,20,8,0,0,0.8021,3,230
8,luecke,mensch_korrigiert,e5-base,contextual,,,,,,53,35,0,0,0.8301,3,302
9,einfach,mensch_korrigiert,e5-base,contextual,1,1,1,1,3,30,25,0,0,0.8547,3,240
10,mehrquellen,mensch_korrigiert,e5-base,contextual,0,0,0,4,7,3,2,0,1,0.8668,3,344
11,einfach,entwurf,e5-base,contextual,1,1,1,1,1,41,37,0,0,0.8641,2,396
12,einfach,entwurf,e5-base,contextual,1,1,1,1,1,57,56,0,0,0.8984,3,416
13,einfach,entwurf,e5-base,contextual,0,1,1,2,3,34,6,0,0,0.8614,3,256
14,einfach,entwurf,e5-base,contextual,1,1,1,1,1,60,40,0,0,0.8396,3,446
15,einfach,entwurf,e5-base,contextual,1,1,1,1,1,46,22,0,0,0.8921,1,207
16,einfach,entwurf,e5-base,contextual,1,1,1,1,1,26,12,0,0,0.8556,1,160
17,mehrquellen,entwurf,e5-base,contextual,0,1,1,1,3,33,40,1,0,0.8912,2,241
18,einfach,entwurf,e5-base,contextual,0,1,1,3,3,27,7,0,0,0.8683,3,239
19,mehrquellen,entwurf,e5-base,contextual,0,0,1,1,4,28,7,0,0,0.8678,1,349
20,aehnlich,entwurf,e5-base,contextual,0,1,1,2,2,5,1,0,0,0.8742,3,446
21,aehnlich,entwurf,e5-base,contextual,0,1,1,2,2,49,28,0,0,0.8625,3,446
22,aehnlich,entwurf,e5-base,contextual,0,1,1,3,3,28,23,0,0,0.8626,3,495
23,aehnlich,entwurf,e5-base,contextual,1,1,1,1,1,3,2,0,1,0.8704,3,407
24,luecke,entwurf,e5-base,contextual,,,,,,26,7,0,0,0.8129,3,163
25,luecke,entwurf,e5-base,contextual,,,,,,30,11,0,0,0.8213,3,304
26,veraltet,entwurf,e5-base,contextual,0,1,1,2,2,12,2,0,0,0.861,2,369
27,mehrquellen,entwurf,e5-base,contextual,0,0,1,1,4,26,16,0,0,0.8337,2,260
1,einfach,mensch,bge-m3,sections,1,1,1,1,1,45,48,1,0,0.6652,1,176
2,veraltet,mensch,bge-m3,sections,0,1,1,2,2,1,2,1,1,0.6811,2,157
3,veraltet,mensch,bge-m3,sections,0,1,1,3,3,1,3,1,1,0.6902,2,190
4,einfach,mensch,bge-m3,sections,1,1,1,1,1,17,34,1,0,0.5757,3,102
5,einfach,mensch_korrigiert,bge-m3,sections,1,1,1,1,10,2,10,1,1,0.6978,3,219
6,einfach,mensch,bge-m3,sections,0,1,1,2,2,4,1,0,0,0.6276,3,134
7,luecke,mensch_korrigiert,bge-m3,sections,,,,,,9,7,0,0,0.2299,3,59
8,luecke,mensch_korrigiert,bge-m3,sections,,,,,,41,43,1,0,0.5587,3,78
9,einfach,mensch_korrigiert,bge-m3,sections,1,1,1,1,3,11,21,1,0,0.496,3,70
10,mehrquellen,mensch_korrigiert,bge-m3,sections,0,1,1,1,3,2,10,1,1,0.6759,3,193
11,einfach,entwurf,bge-m3,sections,1,1,1,1,1,60,55,0,0,0.6382,2,105
12,einfach,entwurf,bge-m3,sections,1,1,1,1,1,54,73,1,0,0.6643,3,133
13,einfach,entwurf,bge-m3,sections,0,1,1,2,3,24,21,0,0,0.7322,3,147
14,einfach,entwurf,bge-m3,sections,0,0,1,5,5,61,68,1,0,0.5347,3,116
15,einfach,entwurf,bge-m3,sections,1,1,1,1,1,42,18,0,0,0.6521,1,86
16,einfach,entwurf,bge-m3,sections,1,1,1,1,1,10,16,1,0,0.6185,1,129
17,mehrquellen,entwurf,bge-m3,sections,0,1,1,1,2,51,41,0,0,0.6702,3,158
18,einfach,entwurf,bge-m3,sections,0,1,1,2,2,15,9,0,0,0.6934,2,119
19,mehrquellen,entwurf,bge-m3,sections,0,0,1,1,5,12,13,1,0,0.6419,2,119
20,aehnlich,entwurf,bge-m3,sections,0,0,1,4,4,9,2,0,0,0.6602,3,252
21,aehnlich,entwurf,bge-m3,sections,0,1,1,2,2,45,51,1,0,0.6507,3,193
22,aehnlich,entwurf,bge-m3,sections,0,0,1,4,4,20,42,1,0,0.6266,2,216
23,aehnlich,entwurf,bge-m3,sections,1,1,1,1,1,4,5,1,0,0.7339,3,282
24,luecke,entwurf,bge-m3,sections,,,,,,6,5,0,0,0.5028,2,93
25,luecke,entwurf,bge-m3,sections,,,,,,32,16,0,0,0.5455,3,131
26,veraltet,entwurf,bge-m3,sections,0,0,1,4,4,1,4,1,1,0.6381,3,133
27,mehrquellen,entwurf,bge-m3,sections,0,1,1,2,3,14,15,1,0,0.6053,3,118
1,einfach,mensch,bge-m3,articles,1,1,1,1,1,18,19,1,0,0.6386,3,670
2,veraltet,mensch,bge-m3,articles,0,1,1,2,2,1,2,1,1,0.579,3,734
3,veraltet,mensch,bge-m3,articles,0,1,1,2,2,1,2,1,1,0.5206,3,742
4,einfach,mensch,bge-m3,articles,1,1,1,1,1,9,18,1,0,0.5387,3,709
5,einfach,mensch_korrigiert,bge-m3,articles,1,1,1,1,4,3,4,1,1,0.5764,3,718
6,einfach,mensch,bge-m3,articles,0,1,1,2,2,3,1,0,1,0.577,3,733
7,luecke,mensch_korrigiert,bge-m3,articles,,,,,,18,17,0,0,0.2107,3,726
8,luecke,mensch_korrigiert,bge-m3,articles,,,,,,16,20,1,0,0.541,3,716
9,einfach,mensch_korrigiert,bge-m3,articles,0,1,1,2,3,17,16,0,0,0.5064,3,716
